  7.3477716e+006 -5.0000000e+002 -6.9549263e+002 -7.6971567e+002
  7.3477717e+006 -5.0000245e+002 -6.9950984e+002 -7.6972018e+002
  7.3477718e+006 -5.0000270e+002 -7.0352702e+002 -7.6972441e+002
  7.3477719e+006 -4.9997299e+002 -7.0754425e+002 -7.6971736e+002
  7.3477720e+006 -4.9989810e+002 -7.1156152e+002 -7.6968210e+002
  7.3477721e+006 -4.9977083e+002 -7.1557850e+002 -7.6960972e+002
  7.3477722e+006 -4.9958256e+002 -7.1959436e+002 -7.6949897e+002
  7.3477723e+006 -4.9932037e+002 -7.2360752e+002 -7.6935350e+002
  7.3477724e+006 -4.9896779e+002 -7.2761527e+002 -7.6917959e+002
  7.3477725e+006 -4.9850656e+002 -7.3161352e+002 -7.6898474e+002
  7.3477726e+006 -4.9791915e+002 -7.3559621e+002 -7.6877621e+002
